# Basic set of tiles.

# each line must have the following structure:
# filename pos-pos pos-neg neg-neg neg-pos NONE height
# the set of properties (NONE) will see some improvement later
# empty lines or lines starting with # are ignored

plain0000.obj 0 0 0 0 NONE 2
plain0011.obj 0 0 1 1 NONE 2
plain0023.obj 0 0 2 3 NONE 3
plain0113.obj 0 1 1 3 NONE 3
plain0222.obj 0 2 2 2 NONE 3
plain0001.obj 0 0 0 1 NONE 2
plain0012.obj 0 0 1 2 NONE 2
plain0033.obj 0 0 3 3 NONE 3
plain0122.obj 0 1 2 2 NONE 3
plain0223.obj 0 2 2 3 NONE 3
plain0002.obj 0 0 0 2 NONE 2
plain0013.obj 0 0 1 3 NONE 2
plain0111.obj 0 1 1 1 NONE 2
plain0123.obj 0 1 2 3 NONE 3
plain0233.obj 0 2 3 3 NONE 3
plain0003.obj 0 0 0 3 NONE 2
plain0022.obj 0 0 2 2 NONE 3
plain0112.obj 0 1 1 2 NONE 2
plain0133.obj 0 1 3 3 NONE 3
plain0333.obj 0 3 3 3 NONE 4
plain0131.obj 0 1 3 1 NONE 3
plain0032.obj 0 0 3 2 NONE 3
plain0322.obj 0 3 2 2 NONE 3
plain0132.obj 0 1 3 2 NONE 3
plain0231.obj 0 2 3 1 NONE 3
plain0323.obj 0 3 2 3 NONE 3
plain0232.obj 0 2 3 2 NONE 3
plain0331.obj 0 3 3 1 NONE 3
plain0211.obj 0 2 1 1 NONE 2
plain0332.obj 0 3 3 2 NONE 3
plain0212.obj 0 2 1 2 NONE 3
plain0311.obj 0 3 1 1 NONE 3
plain0121.obj 0 1 2 1 NONE 2
plain0213.obj 0 2 1 3 NONE 3
plain0312.obj 0 3 1 2 NONE 3
plain0221.obj 0 2 2 1 NONE 3
plain0313.obj 0 3 1 3 NONE 3
plain0321.obj 0 3 2 1 NONE 3
plain0021.obj 0 0 2 1 NONE 2
plain0031.obj 0 0 3 1 NONE 2
plain0242.obj 0 2 4 2 NONE 4
plain0101.obj 0 1 0 1 NONE 2
plain0201.obj 0 2 0 1 NONE 2
plain0202.obj 0 2 0 2 NONE 3
